Datum;Zeit;Artnr;Preis;Name
19.02.2022;12:45:02;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
19.02.2022;18:45:03;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
20.02.2022;08:45:03;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
20.02.2022;12:45:03;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
20.02.2022;18:45:02;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
21.02.2022;08:45:04;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
21.02.2022;12:45:02;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
21.02.2022;18:45:03;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
22.02.2022;08:45:03;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
22.02.2022;12:45:02;63930;134,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
22.02.2022;18:45:02;63930;131,76;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
23.02.2022;08:45:02;63930;131,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
23.02.2022;12:45:03;63930;131,67;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
